position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,FanDuel,DraftKings,pred_hr,pred_odds,diff,pick
2B,S,Xavier Edwards,Brandon Young,R,1,MIA,BAL,away,3.89,MIA,669364.0,1100.0,1600.0,11.1,801.0,799.0,0.0
RF,L,Jesus Sanchez,Brandon Young,R,2,MIA,BAL,away,7.84,MIA,660821.0,400.0,380.0,22.400000000000002,346.0,54.0,0.0
DH,R,Agustin Ramirez,Brandon Young,R,3,MIA,BAL,away,5.09,MIA,682663.0,400.0,425.0,14.6,585.0,-160.0,0.0
LF,L,Kyle Stowers,Brandon Young,R,4,MIA,BAL,away,8.08,MIA,669065.0,360.0,360.0,23.1,333.0,27.0,0.0
SS,R,Otto Lopez,Brandon Young,R,5,MIA,BAL,away,4.54,MIA,672640.0,560.0,650.0,13.0,669.0,-19.0,0.0
1B,L,Liam Hicks,Brandon Young,R,6,MIA,BAL,away,4.58,MIA,689414.0,680.0,750.0,13.100000000000001,663.0,87.0,0.0
CF,R,Dane Myers,Brandon Young,R,7,MIA,BAL,away,4.52,MIA,667472.0,,900.0,12.9,675.0,,0.0
2B,L,Jackson Holliday,Eury Perez,R,1,MIA,BAL,home,7.03,BAL,702616.0,430.0,425.0,20.1,398.0,32.0,0.0
DH,R,Jordan Westburg,Eury Perez,R,2,MIA,BAL,home,5.45,BAL,676059.0,340.0,350.0,15.6,541.0,-191.0,0.0
SS,L,Gunnar Henderson,Eury Perez,R,3,MIA,BAL,home,6.59,BAL,683002.0,400.0,330.0,18.8,432.0,-32.0,0.0
1B,L,Ryan O'Hearn,Eury Perez,R,4,MIA,BAL,home,6.19,BAL,656811.0,450.0,550.0,17.7,465.0,85.0,0.0
RF,R,Ramon Laureano,Eury Perez,R,5,MIA,BAL,home,4.8,BAL,657656.0,450.0,450.0,13.700000000000001,630.0,-180.0,0.0
LF,L,Colton Cowser,Eury Perez,R,6,MIA,BAL,home,6.79,BAL,681297.0,350.0,360.0,19.400000000000002,415.0,-55.0,0.0
CF,L,Cedric Mullins,Eury Perez,R,8,MIA,BAL,home,4.39,BAL,656775.0,400.0,390.0,12.6,694.0,-294.0,0.0
CF,L,Chandler Simpson,Brayan Bello,R,1,TB,BOS,away,3.24,TB,802415.0,1700.0,1500.0,9.3,975.0,725.0,0.0
1B,L,Jonathan Aranda,Brayan Bello,R,2,TB,BOS,away,6.3,TB,666018.0,600.0,550.0,18.0,456.0,144.0,0.0
DH,R,Yandy Diaz,Brayan Bello,R,3,TB,BOS,away,4.98,TB,650490.0,680.0,700.0,14.2,604.0,96.0,0.0
LF,S,Jake Mangum,Brayan Bello,R,4,TB,BOS,away,3.57,TB,663968.0,1100.0,1300.0,10.2,880.0,420.0,0.0
RF,L,Josh Lowe,Brayan Bello,R,5,TB,BOS,away,4.67,TB,666139.0,800.0,650.0,13.4,646.0,154.0,0.0
3B,R,Junior Caminero,Brayan Bello,R,6,TB,BOS,away,5.87,TB,691406.0,470.0,390.0,16.8,495.0,-25.0,0.0
C,L,Matt Thaiss,Brayan Bello,R,7,TB,BOS,away,5.0,TB,642136.0,,950.0,14.299999999999999,599.0,,0.0
SS,R,Ha-Seong Kim,Brayan Bello,R,8,TB,BOS,away,6.53,TB,673490.0,,900.0,18.7,435.0,,0.0
2B,S,Taylor Walls,Brayan Bello,R,9,TB,BOS,away,2.71,TB,670764.0,1000.0,950.0,7.8,1182.0,-182.0,0.0
LF,L,Jarren Duran,Ryan Pepiot,R,1,TB,BOS,home,6.42,BOS,680776.0,560.0,475.0,18.4,443.0,117.0,0.0
3B,R,Alex Bregman,Ryan Pepiot,R,2,TB,BOS,home,5.98,BOS,608324.0,400.0,400.0,17.1,485.0,-85.0,0.0
SS,R,Trevor Story,Ryan Pepiot,R,5,TB,BOS,home,5.06,BOS,596115.0,540.0,475.0,14.499999999999998,590.0,-50.0,0.0
CF,R,Ceddanne Rafaela,Ryan Pepiot,R,6,TB,BOS,home,6.04,BOS,678882.0,630.0,600.0,17.299999999999997,478.0,152.0,0.0
2B,L,Marcelo Mayer,Ryan Pepiot,R,7,TB,BOS,home,5.69,BOS,691785.0,680.0,650.0,16.3,513.0,167.0,0.0
1B,L,Michael Busch,Will Warren,R,1,CHC,NYY,away,8.2,CHC,683737.0,370.0,400.0,23.5,326.0,74.0,0.0
DH,L,Kyle Tucker,Will Warren,R,2,CHC,NYY,away,7.95,CHC,663656.0,340.0,370.0,22.7,341.0,29.0,0.0
RF,R,Seiya Suzuki,Will Warren,R,3,CHC,NYY,away,7.49,CHC,673548.0,360.0,390.0,21.4,367.0,23.0,0.0
CF,L,Pete Crow-Armstrong,Will Warren,R,4,CHC,NYY,away,7.88,CHC,691718.0,350.0,330.0,22.5,344.0,6.0,0.0
C,R,Carson Kelly,Will Warren,R,5,CHC,NYY,away,4.28,CHC,608348.0,,,12.2,720.0,,0.0
LF,S,Ian Happ,Will Warren,R,6,CHC,NYY,away,6.18,CHC,664023.0,450.0,425.0,17.7,465.0,-15.0,0.0
SS,R,Dansby Swanson,Will Warren,R,7,CHC,NYY,away,5.15,CHC,621020.0,560.0,550.0,14.7,580.0,-20.0,0.0
2B,R,Nico Hoerner,Will Warren,R,8,CHC,NYY,away,3.12,CHC,663538.0,1200.0,1300.0,8.9,1024.0,276.0,0.0
1B,R,Paul Goldschmidt,Shota Imanaga,L,1,CHC,NYY,home,6.49,NYY,502671.0,370.0,320.0,18.6,438.0,-68.0,0.0
CF,L,Cody Bellinger,Shota Imanaga,L,2,CHC,NYY,home,5.43,NYY,641355.0,450.0,425.0,15.5,545.0,-95.0,0.0
RF,R,Aaron Judge,Shota Imanaga,L,3,CHC,NYY,home,11.34,NYY,592450.0,124.0,145.0,32.4,209.0,-64.0,0.0
DH,R,Giancarlo Stanton,Shota Imanaga,L,4,CHC,NYY,home,6.89,NYY,519317.0,240.0,265.0,19.7,408.0,-143.0,0.0
2B,L,Jazz Chisholm,Shota Imanaga,L,5,CHC,NYY,home,6.54,NYY,665862.0,330.0,425.0,18.7,435.0,-10.0,0.0
LF,S,Jasson Dominguez,Shota Imanaga,L,6,CHC,NYY,home,5.06,NYY,691176.0,440.0,500.0,14.499999999999998,590.0,-90.0,0.0
SS,R,Anthony Volpe,Shota Imanaga,L,7,CHC,NYY,home,5.2,NYY,683011.0,600.0,600.0,14.899999999999999,571.0,29.0,0.0
C,L,Austin Wells,Shota Imanaga,L,8,CHC,NYY,home,5.39,NYY,669224.0,450.0,475.0,15.4,549.0,-74.0,0.0
3B,R,Oswald Peraza,Shota Imanaga,L,9,CHC,NYY,home,6.09,NYY,672724.0,630.0,750.0,17.4,475.0,275.0,0.0
SS,L,J.P. Crawford,Jack Flaherty,R,1,SEA,DET,away,4.58,SEA,641487.0,800.0,900.0,13.100000000000001,663.0,237.0,0.0
DH,S,Cal Raleigh,Jack Flaherty,R,3,SEA,DET,away,6.61,SEA,663728.0,200.0,215.0,18.9,429.0,-214.0,0.0
LF,R,Randy Arozarena,Jack Flaherty,R,4,SEA,DET,away,4.95,SEA,668227.0,450.0,475.0,14.2,604.0,-129.0,0.0
1B,L,Luke Raley,Jack Flaherty,R,5,SEA,DET,away,5.79,SEA,670042.0,520.0,600.0,16.6,502.0,98.0,0.0
RF,L,Dominic Canzone,Jack Flaherty,R,7,SEA,DET,away,5.68,SEA,686527.0,520.0,600.0,16.2,517.0,83.0,0.0
3B,R,Ben Williamson,Jack Flaherty,R,8,SEA,DET,away,2.79,SEA,810938.0,1000.0,1300.0,8.0,1150.0,150.0,0.0
2B,L,Cole Young,Jack Flaherty,R,9,SEA,DET,away,3.65,SEA,702284.0,900.0,1200.0,10.4,862.0,338.0,0.0
2B,L,Colt Keith,Logan Gilbert,R,1,SEA,DET,home,6.19,DET,690993.0,520.0,500.0,17.7,465.0,55.0,0.0
DH,R,Gleyber Torres,Logan Gilbert,R,2,SEA,DET,home,3.97,DET,650402.0,520.0,600.0,11.4,777.0,-177.0,0.0
LF,L,Riley Greene,Logan Gilbert,R,3,SEA,DET,home,7.28,DET,682985.0,350.0,425.0,20.8,381.0,44.0,0.0
1B,R,Spencer Torkelson,Logan Gilbert,R,4,SEA,DET,home,5.11,DET,679529.0,400.0,475.0,14.6,585.0,-110.0,0.0
C,R,Dillon Dingler,Logan Gilbert,R,5,SEA,DET,home,4.13,DET,693307.0,750.0,650.0,11.799999999999999,747.0,3.0,0.0
3B,L,Zach McKinstry,Logan Gilbert,R,6,SEA,DET,home,3.91,DET,656716.0,750.0,700.0,11.200000000000001,793.0,-43.0,0.0
CF,L,Parker Meadows,Logan Gilbert,R,8,SEA,DET,home,4.92,DET,678009.0,750.0,850.0,14.099999999999998,609.0,241.0,0.0
SS,R,Javier Baez,Logan Gilbert,R,9,SEA,DET,home,3.58,DET,595879.0,750.0,850.0,10.2,880.0,-30.0,0.0
RF,R,Tyler Freeman,Nick Martinez,R,1,COL,CIN,away,3.65,COL,671289.0,680.0,700.0,10.4,862.0,-162.0,0.0
DH,L,Mickey Moniak,Nick Martinez,R,2,COL,CIN,away,6.82,COL,666160.0,400.0,370.0,19.5,413.0,-13.0,0.0
1B,S,Michael Toglia,Nick Martinez,R,3,COL,CIN,away,7.1,COL,669911.0,450.0,400.0,20.3,393.0,57.0,0.0
3B,L,Ryan McMahon,Nick Martinez,R,4,COL,CIN,away,7.13,COL,641857.0,400.0,350.0,20.4,390.0,10.0,0.0
CF,R,Brenton Doyle,Nick Martinez,R,5,COL,CIN,away,5.4,COL,686668.0,500.0,500.0,15.4,549.0,-49.0,0.0
2B,R,Kyle Farmer,Nick Martinez,R,7,COL,CIN,away,3.01,COL,571657.0,,650.0,8.6,1063.0,,0.0
C,R,Austin Nola,Nick Martinez,R,8,COL,CIN,away,3.73,COL,543592.0,,1000.0,10.7,835.0,,0.0
CF,L,TJ Friedl,Austin Gomber,L,1,COL,CIN,home,4.73,CIN,670770.0,600.0,600.0,13.5,641.0,-41.0,0.0
2B,R,Matt McLain,Austin Gomber,L,2,COL,CIN,home,6.47,CIN,680574.0,340.0,265.0,18.5,441.0,-101.0,0.0
SS,S,Elly De La Cruz,Austin Gomber,L,3,COL,CIN,home,7.8,CIN,682829.0,300.0,270.0,22.3,348.0,-48.0,0.0
LF,R,Austin Hays,Austin Gomber,L,4,COL,CIN,home,8.3,CIN,669720.0,350.0,270.0,23.7,322.0,28.0,0.0
1B,R,Spencer Steer,Austin Gomber,L,5,COL,CIN,home,5.33,CIN,668715.0,390.0,360.0,15.2,558.0,-168.0,0.0
DH,R,Noelvi Marte,Austin Gomber,L,6,COL,CIN,home,5.53,CIN,682622.0,460.0,390.0,15.8,533.0,-73.0,0.0
C,R,Tyler Stephenson,Austin Gomber,L,7,COL,CIN,home,7.15,CIN,663886.0,420.0,290.0,20.4,390.0,30.0,0.0
3B,R,Santiago Espinal,Austin Gomber,L,8,COL,CIN,home,4.41,CIN,669289.0,,550.0,12.6,694.0,,0.0
RF,R,Connor Joe,Austin Gomber,L,9,COL,CIN,home,4.43,CIN,656582.0,,475.0,12.7,687.0,,0.0
LF,L,Steven Kwan,Aaron Civale,R,1,CLE,CWS,away,5.0,CLE,680757.0,830.0,550.0,14.299999999999999,599.0,231.0,0.0
CF,L,Nolan Jones,Aaron Civale,R,2,CLE,CWS,away,6.88,CLE,666134.0,630.0,425.0,19.7,408.0,222.0,1.0
3B,S,Jose Ramirez,Aaron Civale,R,3,CLE,CWS,away,6.47,CLE,608070.0,330.0,260.0,18.5,441.0,-111.0,0.0
DH,L,Kyle Manzardo,Aaron Civale,R,4,CLE,CWS,away,6.28,CLE,700932.0,360.0,330.0,18.0,456.0,-96.0,0.0
1B,S,Carlos Santana,Aaron Civale,R,5,CLE,CWS,away,4.97,CLE,467793.0,420.0,340.0,14.2,604.0,-184.0,0.0
C,L,Bo Naylor,Aaron Civale,R,6,CLE,CWS,away,5.56,CLE,666310.0,460.0,360.0,15.9,529.0,-69.0,0.0
2B,S,Angel Martinez,Aaron Civale,R,7,CLE,CWS,away,3.77,CLE,682657.0,600.0,450.0,10.8,826.0,-226.0,0.0
SS,S,Brayan Rocchio,Aaron Civale,R,9,CLE,CWS,away,3.23,CLE,677587.0,830.0,800.0,9.2,987.0,-157.0,0.0
SS,R,Chase Meidroth,Joey Cantillo,L,1,CLE,CWS,home,3.59,CWS,805367.0,870.0,800.0,10.299999999999999,871.0,-1.0,0.0
RF,R,Austin Slater,Joey Cantillo,L,2,CLE,CWS,home,4.44,CWS,596103.0,680.0,550.0,12.7,687.0,-7.0,0.0
C,S,Edgar Quero,Joey Cantillo,L,3,CLE,CWS,home,2.77,CWS,700337.0,630.0,650.0,7.9,1166.0,-516.0,0.0
2B,R,Lenyn Sosa,Joey Cantillo,L,4,CLE,CWS,home,4.03,CWS,672820.0,560.0,500.0,11.5,770.0,-210.0,0.0
CF,R,Luis Robert,Joey Cantillo,L,6,CLE,CWS,home,4.44,CWS,673357.0,520.0,380.0,12.7,687.0,-167.0,0.0
1B,R,Miguel Vargas,Joey Cantillo,L,7,CLE,CWS,home,3.43,CWS,678246.0,560.0,450.0,9.8,920.0,-360.0,0.0
LF,R,Michael A. Taylor,Joey Cantillo,L,9,CLE,CWS,home,4.77,CWS,572191.0,750.0,550.0,13.600000000000001,635.0,115.0,0.0
SS,S,Francisco Lindor,Noah Cameron,L,1,NYM,KC,away,5.35,NYM,596019.0,440.0,450.0,15.299999999999999,554.0,-104.0,0.0
DH,R,Mark Vientos,Noah Cameron,L,2,NYM,KC,away,5.42,NYM,668901.0,600.0,550.0,15.5,545.0,55.0,0.0
RF,L,Juan Soto,Noah Cameron,L,3,NYM,KC,away,6.22,NYM,665742.0,340.0,425.0,17.8,462.0,-37.0,0.0
1B,R,Pete Alonso,Noah Cameron,L,4,NYM,KC,away,7.32,NYM,624413.0,420.0,380.0,20.9,378.0,42.0,0.0
LF,L,Brandon Nimmo,Noah Cameron,L,5,NYM,KC,away,4.82,NYM,607043.0,520.0,600.0,13.8,625.0,-25.0,0.0
3B,S,Ronny Mauricio,Noah Cameron,L,6,NYM,KC,away,4.76,NYM,677595.0,,700.0,13.600000000000001,635.0,,0.0
CF,R,Tyrone Taylor,Noah Cameron,L,7,NYM,KC,away,4.17,NYM,621438.0,900.0,750.0,11.899999999999999,740.0,160.0,0.0
C,R,Luis Torrens,Noah Cameron,L,8,NYM,KC,away,5.37,NYM,620443.0,1060.0,800.0,15.4,549.0,511.0,0.0
2B,R,Jonathan India,Sean Manaea,L,1,NYM,KC,home,5.09,KC,663697.0,1060.0,850.0,14.6,585.0,475.0,0.0
SS,R,Bobby Witt,Sean Manaea,L,2,NYM,KC,home,6.55,KC,677951.0,500.0,450.0,18.7,435.0,65.0,0.0
1B,L,Vinnie Pasquantino,Sean Manaea,L,3,NYM,KC,home,4.54,KC,686469.0,630.0,600.0,13.0,669.0,-39.0,0.0
3B,R,Maikel Garcia,Sean Manaea,L,4,NYM,KC,home,5.19,KC,672580.0,1200.0,1000.0,14.799999999999999,576.0,624.0,0.0
DH,R,Salvador Perez,Sean Manaea,L,5,NYM,KC,home,6.52,KC,521692.0,600.0,550.0,18.6,438.0,162.0,0.0
RF,L,Jac Caglianone,Sean Manaea,L,6,NYM,KC,home,6.07,KC,695506.0,830.0,900.0,17.4,475.0,425.0,0.0
C,R,Freddy Fermin,Sean Manaea,L,8,NYM,KC,home,3.74,KC,666023.0,1300.0,1000.0,10.7,835.0,465.0,0.0
CF,L,Kyle Isbel,Sean Manaea,L,9,NYM,KC,home,2.64,KC,664728.0,1300.0,1300.0,7.6,1216.0,84.0,0.0
1B,L,Nathaniel Lowe,Freddy Peralta,R,2,WSH,MIL,away,4.83,WSH,663993.0,600.0,550.0,13.8,625.0,-25.0,0.0
DH,S,Josh Bell,Freddy Peralta,R,3,WSH,MIL,away,5.48,WSH,605137.0,480.0,475.0,15.7,537.0,-57.0,0.0
2B,L,Luis Garcia,Freddy Peralta,R,5,WSH,MIL,away,5.9,WSH,671277.0,560.0,600.0,16.900000000000002,492.0,108.0,0.0
