position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,FanDuel,DraftKings,pred_hr,pred_odds,diff,pick
RF,L,Daylen Lile,Freddy Peralta,R,7,WSH,MIL,away,3.96,WSH,695734.0,900.0,800.0,11.3,785.0,115.0,0.0
C,R,Riley Adams,Freddy Peralta,R,8,WSH,MIL,away,4.91,WSH,656180.0,870.0,650.0,14.000000000000002,614.0,256.0,0.0
CF,R,Jacob Young,Freddy Peralta,R,9,WSH,MIL,away,1.21,WSH,696285.0,1500.0,1100.0,3.5000000000000004,2757.0,-1257.0,0.0
RF,L,Sal Frelick,Jake Irvin,R,1,WSH,MIL,home,4.88,MIL,686217.0,1100.0,650.0,14.000000000000002,614.0,486.0,0.0
DH,R,William Contreras,Jake Irvin,R,2,WSH,MIL,home,5.31,MIL,661388.0,520.0,425.0,15.2,558.0,-38.0,0.0
1B,R,William Contreras,Davis Daniel,R,4,ATL,STL,home,4.37,STL,,520.0,425.0,12.5,700.0,-180.0,0.0
LF,L,Christian Yelich,Jake Irvin,R,3,WSH,MIL,home,6.62,MIL,592885.0,420.0,400.0,18.9,429.0,-9.0,0.0
CF,R,Jackson Chourio,Jake Irvin,R,4,WSH,MIL,home,5.18,MIL,694192.0,450.0,450.0,14.799999999999999,576.0,-126.0,0.0
2B,L,Brice Turang,Jake Irvin,R,5,WSH,MIL,home,4.87,MIL,668930.0,1000.0,750.0,13.900000000000002,619.0,381.0,0.0
1B,L,Jake Bauers,Jake Irvin,R,6,WSH,MIL,home,6.68,MIL,641343.0,420.0,,19.1,424.0,-4.0,0.0
1B,L,Spencer Horwitz,Simeon Woods Richardson,R,1,PIT,MIN,away,6.15,PIT,687462.0,430.0,380.0,17.599999999999998,468.0,-38.0,0.0
DH,R,Andrew McCutchen,Simeon Woods Richardson,R,2,PIT,MIN,away,2.63,PIT,457705.0,,,7.5,1233.0,,0.0
RF,S,Bryan Reynolds,Simeon Woods Richardson,R,3,PIT,MIN,away,6.01,PIT,668804.0,600.0,350.0,17.2,481.0,119.0,0.0
2B,R,Nick Gonzales,Simeon Woods Richardson,R,4,PIT,MIN,away,4.13,PIT,693304.0,680.0,650.0,11.799999999999999,747.0,-67.0,0.0
LF,R,Tommy Pham,Simeon Woods Richardson,R,5,PIT,MIN,away,3.64,PIT,502054.0,680.0,700.0,10.4,862.0,-162.0,0.0
3B,R,Ke'Bryan Hayes,Simeon Woods Richardson,R,7,PIT,MIN,away,3.57,PIT,663647.0,1000.0,1000.0,10.2,880.0,120.0,0.0
C,R,Henry Davis,Simeon Woods Richardson,R,8,PIT,MIN,away,2.24,PIT,680779.0,680.0,650.0,6.4,1462.0,-782.0,0.0
SS,R,Isiah Kiner-Falefa,Simeon Woods Richardson,R,9,PIT,MIN,away,2.63,PIT,643396.0,1400.0,1100.0,7.5,1233.0,167.0,0.0
CF,R,Byron Buxton,Mitch Keller,R,1,PIT,MIN,home,5.35,MIN,621439.0,290.0,285.0,15.299999999999999,554.0,-264.0,0.0
2B,S,Willi Castro,Mitch Keller,R,2,PIT,MIN,home,4.18,MIN,650489.0,630.0,650.0,12.0,733.0,-83.0,0.0
DH,L,Trevor Larnach,Mitch Keller,R,3,PIT,MIN,home,5.39,MIN,663616.0,520.0,400.0,15.4,549.0,-29.0,0.0
SS,R,Carlos Correa,Mitch Keller,R,4,PIT,MIN,home,3.93,MIN,621043.0,,650.0,11.200000000000001,793.0,,0.0
RF,L,Matt Wallner,Mitch Keller,R,5,PIT,MIN,home,6.65,MIN,670242.0,400.0,290.0,19.0,426.0,-26.0,0.0
3B,R,Royce Lewis,Mitch Keller,R,6,PIT,MIN,home,4.94,MIN,668904.0,560.0,380.0,14.099999999999998,609.0,-49.0,0.0
1B,L,Kody Clemens,Mitch Keller,R,7,PIT,MIN,home,6.22,MIN,665019.0,420.0,300.0,17.8,462.0,-42.0,0.0
LF,R,Harrison Bader,Mitch Keller,R,8,PIT,MIN,home,4.03,MIN,664056.0,630.0,,11.5,770.0,-140.0,0.0
C,R,Christian Vazquez,Mitch Keller,R,9,PIT,MIN,home,2.87,MIN,543877.0,,1700.0,8.200000000000001,1120.0,,0.0
3B,L,Josh Smith,Hunter Brown,R,1,TEX,HOU,away,4.5,TEX,669701.0,1000.0,1000.0,12.9,675.0,325.0,0.0
SS,L,Corey Seager,Hunter Brown,R,2,TEX,HOU,away,7.04,TEX,608369.0,400.0,400.0,20.1,398.0,2.0,0.0
2B,R,Marcus Semien,Hunter Brown,R,3,TEX,HOU,away,3.71,TEX,543760.0,600.0,600.0,10.6,843.0,-243.0,0.0
RF,R,Adolis Garcia,Hunter Brown,R,4,TEX,HOU,away,5.51,TEX,666969.0,560.0,500.0,15.8,533.0,27.0,0.0
LF,R,Wyatt Langford,Hunter Brown,R,5,TEX,HOU,away,4.86,TEX,694671.0,500.0,550.0,13.900000000000002,619.0,-69.0,0.0
CF,L,Evan Carter,Hunter Brown,R,6,TEX,HOU,away,4.91,TEX,694497.0,1000.0,900.0,14.000000000000002,614.0,386.0,0.0
C,R,Kyle Higashioka,Hunter Brown,R,7,TEX,HOU,away,3.54,TEX,543309.0,630.0,750.0,10.100000000000001,890.0,-140.0,0.0
DH,R,Isaac Paredes,Nathan Eovaldi,R,1,TEX,HOU,home,3.93,HOU,670623.0,480.0,550.0,11.200000000000001,793.0,-243.0,0.0
RF,R,Cam Smith,Nathan Eovaldi,R,2,TEX,HOU,home,3.77,HOU,701358.0,870.0,700.0,10.8,826.0,44.0,0.0
2B,R,Jose Altuve,Nathan Eovaldi,R,3,TEX,HOU,home,4.65,HOU,514888.0,560.0,750.0,13.3,652.0,98.0,0.0
1B,R,Christian Walker,Nathan Eovaldi,R,4,TEX,HOU,home,6.09,HOU,572233.0,480.0,425.0,17.4,475.0,5.0,0.0
C,S,Victor Caratini,Nathan Eovaldi,R,5,TEX,HOU,home,5.12,HOU,605170.0,630.0,750.0,14.6,585.0,165.0,0.0
3B,R,Mauricio Dubon,Nathan Eovaldi,R,7,TEX,HOU,home,3.08,HOU,643289.0,1060.0,1100.0,8.799999999999999,1036.0,64.0,0.0
LF,S,Cooper Hummel,Nathan Eovaldi,R,8,TEX,HOU,home,3.75,HOU,669450.0,,850.0,10.7,835.0,,0.0
SS,R,Zack Short,Nathan Eovaldi,R,9,TEX,HOU,home,2.64,HOU,670097.0,1200.0,,7.6,1216.0,-16.0,0.0
LF,S,Jurickson Profar,Sonny Gray,R,1,ATL,STL,away,5.01,ATL,595777.0,,,14.299999999999999,599.0,,0.0
1B,L,Matt Olson,Sonny Gray,R,2,ATL,STL,away,6.64,ATL,621566.0,,,19.0,426.0,,0.0
RF,R,Ronald Acuna,Sonny Gray,R,3,ATL,STL,away,6.17,ATL,660670.0,,,17.599999999999998,468.0,,0.0
DH,R,Sean Murphy,Sonny Gray,R,4,ATL,STL,away,5.14,ATL,669221.0,,,14.7,580.0,,0.0
2B,S,Ozzie Albies,Sonny Gray,R,6,ATL,STL,away,3.65,ATL,645277.0,,,10.4,862.0,,0.0
CF,L,Michael Harris II,Sonny Gray,R,8,ATL,STL,away,4.94,ATL,671739.0,,,14.099999999999998,609.0,,0.0
SS,R,Nick Allen,Sonny Gray,R,9,ATL,STL,away,2.32,ATL,669397.0,,,6.6000000000000005,1415.0,,0.0
2B,R,Ernie Clement,Jeffrey Springs,L,1,TOR,ATH,away,4.69,TOR,676391.0,630.0,425.0,13.4,646.0,-16.0,0.0
SS,R,Bo Bichette,Jeffrey Springs,L,2,TOR,ATH,away,5.75,TOR,666182.0,480.0,370.0,16.400000000000002,510.0,-30.0,0.0
DH,R,Vladimir Guerrero,Jeffrey Springs,L,3,TOR,ATH,away,7.6,TOR,665489.0,320.0,360.0,21.7,361.0,-1.0,0.0
C,R,Alejandro Kirk,Jeffrey Springs,L,4,TOR,ATH,away,5.59,TOR,672386.0,520.0,500.0,16.0,525.0,-5.0,0.0
LF,R,Davis Schneider,Jeffrey Springs,L,6,TOR,ATH,away,6.19,TOR,676914.0,480.0,390.0,17.7,465.0,15.0,0.0
CF,R,Myles Straw,Jeffrey Springs,L,8,TOR,ATH,away,4.64,TOR,664702.0,1200.0,1300.0,13.3,652.0,648.0,0.0
RF,L,Lawrence Butler,Jose Berrios,R,1,TOR,ATH,home,6.17,ATH,671732.0,360.0,400.0,17.599999999999998,468.0,-68.0,0.0
SS,R,Jacob Wilson,Jose Berrios,R,2,TOR,ATH,home,3.35,ATH,805779.0,900.0,800.0,9.6,942.0,-42.0,0.0
1B,L,Nick Kurtz,Jose Berrios,R,3,TOR,ATH,home,8.74,ATH,701762.0,340.0,310.0,25.0,300.0,40.0,0.0
DH,R,Brent Rooker,Jose Berrios,R,4,TOR,ATH,home,6.3,ATH,667670.0,350.0,320.0,18.0,456.0,-106.0,0.0
LF,L,Tyler Soderstrom,Jose Berrios,R,5,TOR,ATH,home,7.04,ATH,691016.0,450.0,370.0,20.1,398.0,52.0,0.0
2B,R,Max Muncy,Jose Berrios,R,7,TOR,ATH,home,4.59,ATH,691777.0,560.0,700.0,13.100000000000001,663.0,37.0,0.0
CF,R,Denzel Clarke,Jose Berrios,R,9,TOR,ATH,home,5.03,ATH,672016.0,900.0,1100.0,14.399999999999999,594.0,506.0,0.0
DH,L,Shohei Ohtani,Robbie Ray,L,1,LAD,SF,away,7.33,LAD,660271.0,280.0,285.0,21.0,376.0,-91.0,0.0
SS,R,Mookie Betts,Robbie Ray,L,2,LAD,SF,away,4.46,LAD,605141.0,600.0,475.0,12.8,681.0,-81.0,0.0
C,R,Will Smith,Robbie Ray,L,3,LAD,SF,away,6.23,LAD,669257.0,500.0,425.0,17.8,462.0,38.0,0.0
1B,L,Freddie Freeman,Robbie Ray,L,4,LAD,SF,away,3.92,LAD,518692.0,830.0,650.0,11.200000000000001,793.0,37.0,0.0
RF,R,Teoscar Hernandez,Robbie Ray,L,5,LAD,SF,away,6.0,LAD,606192.0,600.0,450.0,17.2,481.0,119.0,0.0
CF,R,Andy Pages,Robbie Ray,L,6,LAD,SF,away,4.59,LAD,681624.0,680.0,550.0,13.100000000000001,663.0,17.0,0.0
2B,S,Tommy Edman,Robbie Ray,L,7,LAD,SF,away,3.76,LAD,669242.0,830.0,600.0,10.8,826.0,4.0,0.0
3B,R,Miguel Rojas,Robbie Ray,L,8,LAD,SF,away,3.35,LAD,500743.0,1100.0,1100.0,9.6,942.0,158.0,0.0
LF,R,Esteury Ruiz,Robbie Ray,L,9,LAD,SF,away,4.65,LAD,665923.0,1100.0,1100.0,13.3,652.0,448.0,0.0
LF,R,Heliot Ramos,Yoshinobu Yamamoto,R,1,LAD,SF,home,4.51,SF,671218.0,800.0,550.0,12.9,675.0,125.0,0.0
DH,L,Rafael Devers,Yoshinobu Yamamoto,R,2,LAD,SF,home,7.68,SF,646240.0,600.0,400.0,22.0,355.0,245.0,1.0
SS,R,Willy Adames,Yoshinobu Yamamoto,R,3,LAD,SF,home,4.91,SF,642715.0,680.0,450.0,14.000000000000002,614.0,66.0,0.0
3B,R,Matt Chapman,Yoshinobu Yamamoto,R,4,LAD,SF,home,4.89,SF,656305.0,560.0,450.0,14.000000000000002,614.0,-54.0,0.0
RF,L,Mike Yastrzemski,Yoshinobu Yamamoto,R,5,LAD,SF,home,4.95,SF,573262.0,900.0,550.0,14.2,604.0,296.0,0.0
CF,L,Jung Hoo Lee,Yoshinobu Yamamoto,R,7,LAD,SF,home,3.52,SF,808982.0,1200.0,1300.0,10.100000000000001,890.0,410.0,0.0
2B,R,Casey Schmitt,Yoshinobu Yamamoto,R,8,LAD,SF,home,3.87,SF,669477.0,900.0,700.0,11.1,801.0,99.0,0.0
C,S,Patrick Bailey,Yoshinobu Yamamoto,R,9,LAD,SF,home,3.22,SF,672275.0,1100.0,1300.0,9.2,987.0,313.0,0.0
RF,L,Corbin Carroll,Jose Soriano,R,1,ARI,LAA,away,6.66,ARI,682998.0,350.0,260.0,19.0,426.0,-76.0,0.0
LF,L,Jake McCarthy,Jose Soriano,R,2,ARI,LAA,away,4.46,ARI,664983.0,,1100.0,12.8,681.0,,0.0
SS,S,Geraldo Perdomo,Jose Soriano,R,3,ARI,LAA,away,3.93,ARI,672695.0,870.0,800.0,11.200000000000001,793.0,77.0,0.0
1B,L,Josh Naylor,Jose Soriano,R,4,ARI,LAA,away,5.48,ARI,647304.0,480.0,425.0,15.7,537.0,-57.0,0.0
3B,R,Eugenio Suarez,Jose Soriano,R,5,ARI,LAA,away,5.56,ARI,553993.0,320.0,275.0,15.9,529.0,-209.0,0.0
DH,R,Lourdes Gurriel,Jose Soriano,R,6,ARI,LAA,away,4.03,ARI,666971.0,600.0,600.0,11.5,770.0,-170.0,0.0
CF,L,Alek Thomas,Jose Soriano,R,7,ARI,LAA,away,5.82,ARI,677950.0,800.0,700.0,16.6,502.0,298.0,0.0
C,S,Jose Herrera,Jose Soriano,R,9,ARI,LAA,away,2.94,ARI,645444.0,,1500.0,8.4,1090.0,,0.0
SS,R,Zach Neto,Merrill Kelly,R,1,ARI,LAA,home,6.85,LAA,687263.0,470.0,380.0,19.6,410.0,60.0,0.0
1B,L,Nolan Schanuel,Merrill Kelly,R,2,ARI,LAA,home,5.47,LAA,694384.0,830.0,650.0,15.6,541.0,289.0,0.0
DH,R,Mike Trout,Merrill Kelly,R,3,ARI,LAA,home,7.65,LAA,545361.0,255.0,225.0,21.9,357.0,-102.0,0.0
LF,R,Taylor Ward,Merrill Kelly,R,4,ARI,LAA,home,7.15,LAA,621493.0,430.0,400.0,20.4,390.0,40.0,0.0
CF,R,Jo Adell,Merrill Kelly,R,5,ARI,LAA,home,6.76,LAA,666176.0,370.0,370.0,19.3,418.0,-48.0,0.0
3B,S,Yoan Moncada,Merrill Kelly,R,6,ARI,LAA,home,5.84,LAA,660162.0,520.0,390.0,16.7,499.0,21.0,0.0
C,R,Logan O'Hoppe,Merrill Kelly,R,7,ARI,LAA,home,5.59,LAA,681351.0,,425.0,16.0,525.0,,0.0
RF,L,LaMonte Wade,Merrill Kelly,R,8,ARI,LAA,home,5.25,LAA,664774.0,,,15.0,567.0,,0.0
2B,S,Luis Rengifo,Merrill Kelly,R,9,ARI,LAA,home,3.97,LAA,650859.0,900.0,850.0,11.4,777.0,123.0,0.0
DH,L,Kyle Schwarber,Nick Pivetta,R,1,PHI,SD,away,8.74,PHI,656941.0,255.0,235.0,25.0,300.0,-45.0,0.0
SS,R,Trea Turner,Nick Pivetta,R,2,PHI,SD,away,4.69,PHI,607208.0,440.0,450.0,13.4,646.0,-196.0,0.0
1B,L,Bryce Harper,Nick Pivetta,R,3,PHI,SD,away,6.42,PHI,547180.0,400.0,360.0,18.4,443.0,-43.0,0.0
RF,R,Nick Castellanos,Nick Pivetta,R,4,PHI,SD,away,5.26,PHI,592206.0,460.0,425.0,15.0,567.0,-107.0,0.0
C,R,J.T. Realmuto,Nick Pivetta,R,5,PHI,SD,away,4.79,PHI,592663.0,500.0,500.0,13.700000000000001,630.0,-130.0,0.0
2B,L,Bryson Stott,Nick Pivetta,R,6,PHI,SD,away,4.81,PHI,681082.0,900.0,850.0,13.8,625.0,275.0,0.0
CF,L,Brandon Marsh,Nick Pivetta,R,8,PHI,SD,away,5.14,PHI,669016.0,870.0,750.0,14.7,580.0,290.0,0.0
3B,R,Edmundo Sosa,Nick Pivetta,R,9,PHI,SD,away,3.61,PHI,624641.0,800.0,,10.299999999999999,871.0,-71.0,0.0
RF,R,Fernando Tatis,Cristopher Sanchez,L,1,PHI,SD,home,5.72,SD,665487.0,470.0,500.0,16.400000000000002,510.0,-10.0,0.0
1B,L,Luis Arraez,Cristopher Sanchez,L,2,PHI,SD,home,1.95,SD,650333.0,1200.0,1300.0,5.6000000000000005,1686.0,-386.0,0.0
3B,R,Manny Machado,Cristopher Sanchez,L,3,PHI,SD,home,6.53,SD,592518.0,420.0,425.0,18.7,435.0,-10.0,0.0
SS,R,Xander Bogaerts,Cristopher Sanchez,L,4,PHI,SD,home,3.99,SD,593428.0,900.0,750.0,11.4,777.0,123.0,0.0
CF,L,Jackson Merrill,Cristopher Sanchez,L,5,PHI,SD,home,4.05,SD,701538.0,800.0,650.0,11.600000000000001,762.0,38.0,0.0
2B,R,Jose Iglesias,Cristopher Sanchez,L,6,PHI,SD,home,2.92,SD,578428.0,1500.0,1400.0,8.4,1090.0,410.0,0.0
C,R,Elias Diaz,Cristopher Sanchez,L,9,PHI,SD,home,3.65,SD,553869.0,,,10.4,862.0,,0.0
